" ","High-income countries (Index (1970=100))","Middle-income countries (Index (1970=100))","Low-income countries (Index (1970=100))"
"1970","100","100","100"
"1971","100","103","94"
"1972","100","104","94"
"1973","101","107","92"
"1974","102","107","89"
"1975","103","108","85"
"1976","103","107","81"
"1977","104","107","78"
"1978","103","107","76"
"1979","103","107","75"
"1980","103","108","75"
"1981","104","107","74"
"1982","103","106","72"
"1983","103","104","72"
"1984","103","101","70"
"1985","103","98","67"
"1986","104","96","65"
"1987","103","95","64"
"1988","103","95","61"
"1989","105","95","59"
"1990","107","95","56"
"1991","108","95","51"
"1992","108","95","49"
"1993","110","92","47"
"1994","110","90","46"
"1995","110","91","46"
"1996","110","91","42"
"1997","111","89","45"
"1998","111","87","44"
"1999","109","87","43"
"2000","108","86","46"
"2001","107","86","47"
"2002","106","88","50"
"2003","106","89","51"
"2004","105","91","51"
"2005","105","91","50"
"2006","105","91","49"
"2007","107","88","49"
"2008","108","84","46"
"2009","108","83","45"
"2010","110","82","42"
"Source: WWF, ZSL"
